id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00001,"=""8202003""",,"=""4260659613976""",Atmizoo Tripod RTA Selbstwickler Tank,"=""silver-ice-matt""",Pods,,25%,15%,
CAT00002,"=""8205003""",,"=""4260659614010""",Atmizoo Tripod RTA Fixed Airflow Tubes Kit,,Pods,,25%,15%,
CAT00003,"=""8205005""",,"=""4260659614034""",Atmizoo Tripod RTA Extension Kit 3.4ml,,Pods,,25%,15%,
CAT00004,"=""8205006""",,"=""4260659614041""",Atmizoo Tripod RTA O-Rings Kit (main),,Pods,,25%,15%,
CAT00005,"=""2202183""",,"=""4260659616182""",Vandy Vape Kylin M AIO Pod Tank Verdampfer,"=""schwarz""",Pods,,25%,15%,
CAT00006,"=""2502011""",,"=""4260659618261""",2x Voopoo PnP Pod Tankverdampfer - ohne Coil,,Pods,,25%,15%,
CAT00007,"=""1602110""",,"=""4260754132501""",2x Uwell Caliburn G2 Pod Tank Verdampfer - Ohne Coil,,Pods,,25%,15%,
CAT00008,"=""10092001""",,"=""3859893933196""",3x KIWI Pod Tank Verdampfer,"=""transparent""",Pods,,25%,15%,
CAT00009,"=""10092002""",,"=""3859893933066""",3x KIWI Pod Tank Verdampfer,"=""schwarz""",Pods,,25%,15%,
CAT00010,"=""10095001""",,"=""3856031816533""",20x KIWI Pod Kit Filter,"=""weiss""",Pods,,25%,15%,
CAT00011,"=""10095002""",,"=""3856031816632""",KIWI Pod Kit Drip Tip,"=""schwarz""",Pods,,25%,15%,
CAT00012,"=""1602111""",,"=""4260754134796""",2x Uwell Popreel N1 Pod Tank Verdampfer,,Pods,,25%,15%,
CAT00013,"=""1202238""",,"=""4260607176829""",3x GeekVape Wenax H1 Pod Tank Verdampfer 0.7 Ohm,"=""0.7""",Pods,,25%,15%,
CAT00014,"=""2502063""",,"=""4260769631112""",2x Voopoo VMATE V2 Pod Tank Verdampfer,"=""0.7""",Pods,,25%,15%,
CAT00015,"=""2502064""",,"=""4260769631129""",2x Voopoo VMATE V2 Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00016,"=""802093""",,"=""4262423778645""",4x Vaporesso XROS Mesh Pod Tank Verdampfer - 0.8 Ohm,"=""0.8""",Pods,,25%,15%,
CAT00017,"=""1201339""",,"=""4260769633864""",Geekvape Sonder U Pod Kit,"=""black""",Pods,,25%,15%,
CAT00018,"=""1201341""",,"=""4260769633888""",Geekvape Sonder U Pod Kit,"=""white""",Pods,,25%,15%,
CAT00019,"=""1201342""",,"=""4260769633895""",Geekvape Sonder U Pod Kit,"=""wine-red""",Pods,,25%,15%,
CAT00020,"=""1201343""",,"=""4260769633901""",Geekvape Sonder U Pod Kit,"=""celeste-glaze""",Pods,,25%,15%,
CAT00021,"=""1202242""",,"=""4260769634052""",3x GeekVape U Pod Tank Verdampfer 0.7 Ohm,"=""0.7""",Pods,,25%,15%,
CAT00022,"=""2401061""",,"=""4260769636988""",DotMod dotPod Nano Kit,"=""royal-blue""",Pods,,25%,15%,
CAT00023,"=""2401063""",,"=""4260769636971""",DotMod dotPod Nano Kit,"=""grey""",Pods,,25%,15%,
CAT00024,"=""2401064""",,"=""4260769637015""",DotMod dotPod Nano Kit,"=""brown""",Pods,,25%,15%,
CAT00025,"=""2401065""",,"=""4260769636995""",DotMod dotPod Nano Kit,"=""red""",Pods,,25%,15%,
CAT00026,"=""2401066""",,"=""4260769637008""",DotMod dotPod Nano Kit,"=""orange""",Pods,,25%,15%,
CAT00027,"=""2502066""",,"=""4260769635776""",3x VooPoo Vinci Series V2 Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
CAT00028,"=""804049""",,"=""4262403382442""",2x Vaporesso Luxe X M Pod Tank Verdampfer 0.8 Ohm,"=""0.8""",Pods,,25%,15%,
CAT00029,"=""801388""",,"=""4262403382299""",Vaporesso XROS 3 Pod Kit,"=""space-grey""",Pods,,25%,15%,
CAT00030,"=""801387""",,"=""4262403382282""",Vaporesso XROS 3 Pod Kit,"=""icy-silver""",Pods,,25%,15%,
CAT00031,"=""802099""",,"=""4262423778638""",4x Vaporesso XROS Mesh Pod Tank Verdampfer - 0.6 Ohm,"=""0.6""",Pods,,25%,15%,
CAT00032,"=""9502002""",,"=""4262403383760""",2x Nevoks Feelin Pod Tank Verdampfer - Ohne Coil,,Pods,,25%,15%,
